Week,Tony,Shaker,Quinn,Up,Autodraft,Healthy,Quindawg,Heff,Win,Lamar
1,114,104.5,154,107.5,112.5,100.5,100,100,140,111
2,97,132.5,110,99,123,61.5,82.5,85.5,113.5,97.5
3,92,114,138,126.5,100,112,89.5,80.5,128.5,129
4,99.5,112,38.5,74,94,127.5,78,97.5,132,108
5,118,137.5,103.5,105,93.5,126,118.5,147,167,88
6,109,105.5,59.5,124.5,99.5,123,82,98,106.5,157.5
7,72,120.5,97,104.5,56,94,100,116,80.5,130
8,120.5,143.5,79.5,66.5,100,144.5,108.5,115.5,104.5,147.5
9,92.5,56,108.5,80,133,99.5,83.5,132.5,151,107.5
10,102,113,118.5,101,86.5,73.5,88.5,64,137,99.5
11,98,99.5,77.5,94.5,84,100,67,73,111.5,107.5
12,129.5,62,82,103,74.5,98,26.5,116.5,11.5,88.5
13,99.5,86.5,107,76,75,117,77.5,110,92,80.5